Data di inserimento,Termine,Accento,Definizione,"Sinonimi (facoltativo, separa con ;)","Contrari (facoltativo, separa con ;)",Etimologia,Esempio 1,Esempio 2,Esempio 3,Frequenza d'uso,Linguaggio tecnico,Errori,APPRESO
,Profluvio,proflùvio,Scorrimento abbondante (di liquidi); grande quantità (di parole).,Flusso abbondante; inondazione; marea; torrente,Scarsità; gocciolamento; carenza,"Dal latino ""profluvium"".",Un profluvio di sangue.,Profluvio di parole inutili.,Un profluvio di profumi.,Bassa,Letterario,Nessuno,No
,Profondere,profóndere,Spendere o donare a piene mani; spargere abbondantemente.,Spendere; donare; elargire; prodigare,Risparmiare; economizzare; trattenere; accumulare,"Dal latino ""profundere"".",Profondere le proprie energie nel progetto.,Profondere denaro.,Ha profuso tutto il suo impegno.,Bassa,Formale,Nessuno,No
,Profondersi,profóndersi,"Abbondare (in saluti, scuse), dilungarsi.",Dilungarsi; abbondare; sperticarsi; prodigarsi,Risparmiarsi; contenersi; limitarsi; essere conciso,"Riflessivo di ""profondere"".",Profondersi in scuse.,Profondersi in inchini.,Si profuse in ringraziamenti.,Bassa,Formale,Nessuno,No
,Prolusione,prolusióne,Discorso introduttivo o inaugurale (specie accademico).,Discorso inaugurale; introduzione; preambolo,Conclusione; epilogo,"Dal latino ""prolusio"" (esercizio preliminare).",La prolusione del rettore all'anno accademico.,Tenere una prolusione.,Ascoltare la prolusione.,Bassa,Accademico,Nessuno,No
,Propalare,propalàre,"Divulgare, diffondere (notizie riservate o false).",Divulgare; diffondere; spargere; rivelare,Tacere; nascondere; celare; segretare,"Dal latino ""propalam"" (apertamente).",Propalare segreti d'ufficio.,Chi propala fake news.,Propalare calunnie.,Bassa,Burocratico,Nessuno,No
,Propellere,propèllere,Spingere in avanti (usato spec. nel participio o derivati).,Spingere; muovere; lanciare; azionare,Frenare; arrestare; bloccare,"Dal latino ""propellere"".",Eliche per propellere la nave.,Forza che propelle.,"(Raro come verbo finito, comune ""propulsione"").",Molto bassa,Tecnico,Nessuno,No
,Propugnare,propugnàre,"Difendere, sostenere con forza una causa o un'idea.",Sostenere; difendere; perorare; promuovere,Combattere; avversare; ostacolare; criticare,"Dal latino ""propugnare"" (combattere per).",Propugnare i diritti civili.,Propugnare una riforma.,Propugnò la libertà di stampa.,Bassa,Formale,Nessuno,No
,Prosaico,prosàico,"Che manca di poesia, materiale, banale, terra terra.",Banale; materiale; ordinario; privo di poesia,Poetico; elevato; nobile; spirituale,"Derivato da ""prosa"".","Interessi puramente prosaici (soldi, cibo).",Una vita prosaica.,Dettagli prosaici.,Bassa,Letterario,Nessuno,No
,Prosapia,prosàpia,"Stirpe, famiglia, schiatta (spesso ironico o pomposo).",Stirpe; schiatta; famiglia; lignaggio,-,"Dal latino ""prosapia"".",Vantare un'antica prosapia.,Di nobile prosapia.,L'ultimo della sua prosapia.,Bassa,Letterario / Ironico,Nessuno,No
,Proscenio,proscènio,La parte anteriore del palcoscenico (davanti al sipario).,Ribalta; parte anteriore del palco,Retroscena; quinta,"Dal greco ""proskenion"".",L'attore avanzò verso il proscenio.,Luci di proscenio.,Ribalta e proscenio.,Bassa,Teatro,Nessuno,No
,Proscrizione,proscrizióne,"Bando pubblico, condanna all'esilio o alla morte con confisca dei beni.",Bando; esilio; condanna; epurazione,Riabilitazione; amnistia; accoglienza,"Dal latino ""proscriptio"".",Le liste di proscrizione di Silla.,Mettere all'indice o in proscrizione.,Periodo di proscrizione.,Bassa,Storico,Nessuno,No
,Prosieguo,prosièguo,"Continuazione, seguito (di un discorso o attività).",Seguito; continuazione; svolgimento; corso,Fine; termine; inizio; principio,"Derivato da ""proseguire"".",Nel prosieguo della serata.,Vedremo nel prosieguo.,Buon prosieguo!,Media,Burocratico / Formale,Proseguo (errato se sostantivo),No
,Prosit,pròsit,"Sia utile, ""faccia bene"" (brindisi o augurio latino).",Salute; cin cin; evviva,-,Latino (congiuntivo di prodesse).,Prosit! (cin cin).,Fare un prosit.,Detto dopo uno starnuto (arcaico).,Bassa,Modismo,Nessuno,No
,Prosopopea,prosopopèa,"Figura retorica (personificazione); aria di importanza, gravità affettata, arroganza.",Personificazione; arroganza; boria; importanza,Semplicità; modestia; naturalezza,"Dal greco ""prosopopoiia"".",La prosopopea della Patria che parla.,Parlare con prosopopea.,Avere una gran prosopopea.,Bassa,Retorica / Comune,Nessuno,No
,Prospettico,prospèttico,Relativo alla prospettiva; visto in prospettiva.,Di prospettiva; illusorio; geometrico,Reale; piatto,"Derivato da ""prospettiva"".",Errore prospettico.,Visione prospettica.,Piano prospettico.,Media,Arte / Tecnico,Nessuno,No
,Prospicente,prospicènte,"Che guarda verso, che si affaccia su.",Che guarda; affacciato; antistante; frontale,Retrostante; nascosto,"Participio presente di ""prospicere"".",Camera prospicente il mare.,Balcone prospicente la piazza.,Edificio prospicente.,Bassa,Immobiliare / Formale,Nessuno,No
,Prossemico,prossèmico,Relativo alla prossemica (studio dello spazio e distanze nelle relazioni).,Spaziale; delle distanze,-,"Dall'inglese ""proxemics"".",Comportamento prossemico.,Distanza prossemica.,Codici prossemici.,Bassa,Sociologia,Nessuno,No
,Protervia,protèrvia,"Arroganza ostinata, superbia insolente.",Arroganza; sfrontatezza; insolenza; superbia,Umiltà; sottomissione; mitezza; rispetto,"Dal latino ""protervia"".",Rispondere con protervia.,La protervia dei tiranni.,Sguardo pieno di protervia.,Bassa,Letterario,Nessuno,No
,Psicopompo,psicopòmpo,"Figura mitologica che guida le anime dei morti nell'oltretomba (es. Ermes, Caronte).",Accompagnatore di anime; guida oltremondana,-,"Dal greco ""psychopompos"".",Ermes psicopompo.,Animale psicopompo.,Funzione di psicopompo.,Molto bassa,Mitologia,Nessuno,No
,Pudende,pudènde,"Le parti intime, i genitali (ciò di cui ci si deve vergognare).",Parti intime; vergogne; genitali,-,"Dal latino ""pudenda"" (da pudere).",Coprirsi le pudende.,Mostrare le pudende.,Plurale del neutro latino pudendum.,Molto bassa,Anatomia / Letterario,Pudenda (variante latina),No
,Punzonatura,punzonatùra,Marcatura o foratura impressa con un punzone (timbro metallico).,Marcatura; timbratura; stampigliatura,-,"Derivato da ""punzone"".",Punzonatura del telaio dell'auto.,La punzonatura dell'oro (carati).,Verificare la punzonatura.,Bassa,Tecnico / Oreficeria,Nessuno,No
,Pusigno,pusìgno,Piccolo pasto o spuntino fatto a tarda notte (termine toscano/ligure).,Spuntino notturno; merenda serale,-,"Etimologia incerta (forse da ""post-cenium"").",Fare il pusigno dopo teatro.,Invitare a pusigno.,Mangiucchiare per pusigno.,Molto bassa,Regionale (Toscano),Nessuno,No
,Pusillanime,pusillànime,"Di animo meschino, vile, privo di coraggio.",Vile; pauroso; codardo; meschino,Coraggioso; audace; valoroso; magnanimo,"Dal latino ""pusillus"" (piccolo) e ""animus"".",Un comportamento pusillanime.,"Non essere pusillanime, affrontalo!",Gente pusillanime.,Bassa,Letterario,Pusilanime (una l),No
,Qualunquismo,qualunquìsmo,Atteggiamento di sfiducia e disinteresse verso la politica e i partiti.,Disimpegno; indifferenza; apatia politica,Impegno; partecipazione; militanza; attivismo,"Dal movimento dell'""Uomo Qualunque"" (1944).",Il qualunquismo porta all'astensionismo.,Discorso intriso di qualunquismo.,Cadere nel qualunquismo più becero.,Media,Politico,Qualunqismo (manca la u),No
,Querulo,quèrulo,Che si lamenta in modo piagnucoloso; (voce) stridula e dolente.,Piagnucoloso; lamentoso; dolente; gemebondo,Allegro; ridente; sereno; gioioso,"Dal latino ""querulus"".",Voce querula e fastidiosa.,Un vecchio querulo e incontentabile.,Tono querulo.,Bassa,Letterario,Nessuno,No
,Quiescenza,quiescènza,"Stato di riposo o inattività (biologia, vulcani); pensione (burocrazia).",Riposo; inattività; letargo; pensione,Attività; eruzione; servizio; azione,"Dal latino ""quiescere"" (riposare).",Vulcano in fase di quiescenza.,Andare in quiescenza (in pensione).,Semi in stato di quiescenza.,Bassa,Burocratico / Scientifico,Nessuno,No
,Quisquilia,quisquìlia,"Cosa di nessun valore, bazzecola, inezia.",Inezia; bazzecola; bagatella; sciocchezza,Cosa importante; affare serio; sostanza,"Dal latino ""quisquiliae"" (feccia/rifiuti).",Litigare per delle quisquilie.,Non perdiamo tempo in quisquilie.,Dettagli che sono solo quisquilie.,Bassa,Colto / Ironico,Quisquiglia (con la g),No
,Rabbuffo,rabbùffo,Rimprovero aspro e severo; arruffamento.,Rimprovero; sgridata; partaccia; risciacquata,Elogio; lode; complimento; approvazione,"Derivato da ""buffo"" (soffio di vento).",Prendersi un rabbuffo dal capo.,I capelli erano un rabbuffo indomabile.,Temere il rabbuffo.,Bassa,Comune,Nessuno,No
,Ramanzina,ramanzìna,Lungo e noioso rimprovero.,Predica; paternale; rimprovero lungo,Elogio breve; lode,"Dal francese ""romancine"" (romanzo/storia lunga).",Fare una ramanzina al figlio.,Sorbirsi la solita ramanzina.,Finire con una ramanzina morale.,Media,Comune,Nessuno,No
,Ramingo,ramìngo,"Che vaga senza meta e senza dimora, solitario ed errante.",Errante; vagabondo; girovago; nomade,Stanziale; sedentario; fisso; dimorante,"Derivato da ""ramo"" (uccello che vola di ramo in ramo).",Vivere ramingo e fuggiasco.,Un cane ramingo.,Poeta ramingo.,Bassa,Letterario,Nessuno,No
,Ràscia,ràscia,Tessuto di lana ruvido e resistente (saia); (Dialettale) sensazione di bruciore/raschio in gola.,Tessuto ruvido; raschio; bruciore,-,Dal nome della città di Raska (Serbia).,Un abito di ràscia.,Avere la ràscia in gola.,Termine tessile antico.,Molto bassa,Tessile / Dialettale,Nessuno,No
,Raziocinio,raziocìnio,"Facoltà di ragionare, uso della ragione; buon senso.",Ragione; logica; senno; giudizio,Follia; irrazionalità; istinto; delirio,"Dal latino ""ratiocinium"".",Perdere il lume del raziocinio.,Agire con raziocinio.,Uomo privo di raziocinio.,Media,Comune,Razziocinio (una z),No
,Reboante,reboànte,"Che risuona con fragore; altisonante, magniloquente ma vuoto.",Risonante; rimbombante; altisonante; pomposo,Sommesso; flebile; semplice; dimesso,"Dal latino ""reboare"" (rimbombare).",Voce reboante.,Un discorso reboante e vuoto.,Titoli reboanti sui giornali.,Bassa,Letterario,"Spesso si utilizza Roboante: sebbene sia accettato, è più corretto Reboante per la sua derivazione dal latino reboare",No
,Recalcitrare,recalcitràre,"Rifiutarsi di obbedire, fare resistenza ostinata (come il mulo che calcia).",Opporsi; resistere; puntare i piedi; ostinarsi,Cedere; obbedire; sottomettersi; acconsentire,"Dal latino ""recalcitrare"" (tirare calci).",Il cavallo recalcitra davanti all'ostacolo.,Recalcitrare agli ordini.,Bambino che recalcitra.,Bassa,Comune,Ricalcitrare (variante meno comune),No
,Reprimenda,reprimènda,Rimprovero solenne e severo.,Rimprovero; sgridata; biasimo; ammonizione,Lode; encomio; plauso; approvazione,"Dal latino ""reprimenda"" (cose da reprimere).",Subire una dura reprimenda.,Lanciare una reprimenda contro i costumi corrotti.,Non servono reprimende ma esempi.,Bassa,Formale,Nessuno,No
,Reprobo,rèprobo,"Condannato da Dio, malvagio, peccatore ostinato.",Dannato; maledetto; peccatore; malvagio,Eletto; santo; giusto; beato,"Dal latino ""reprobus"" (rifiutato).",Anima reproba.,Il destino dei reprobi.,Uno sguardo da reprobo.,Bassa,Religioso / Letterario,Reproba (femminile nell'input),No
,Resipiscenza,resipiscènza,"Ravvedimento, riconoscimento del proprio errore.",Ravvedimento; pentimento; ripensamento,Ostinazione; impenitenza; recidiva,"Dal latino ""resipiscere"" (rinsavire).",Mostrare segni di resipiscenza.,Atto di resipiscenza tardivo.,Non c'è perdono senza resipiscenza.,Bassa,Giuridico / Colto,Nessuno,No
,Restio,restìo,"Che oppone resistenza, riluttante, non disposto a fare qualcosa.",Riluttante; contrario; disubbidiente; ritroso,Propenso; disposto; favorevole; docile,"Dal latino ""restitare"" (fermarsi).",Restio a concedere confidenza.,Cavallo restio.,Sono restio ad accettare.,Media,Comune,Nessuno,No
,Retrivo,retrìvo,"Che ha idee arretrate, conservatore accanito, reazionario.",Arretrato; conservatore; reazionario; oscurantista,Progressista; avanzato; moderno; aperto,"Derivato da ""retro"".",Mentalità retriva.,Un ambiente retrivo e chiuso.,Idee retrive.,Bassa,Spregiativo,Nessuno,No
,Retroingegneria,retroingegnerìa,Analisi di un prodotto per capire come è fatto e riprodurlo (Reverse Engineering).,Reverse engineering; ingegneria inversa,-,Calco dall'inglese.,Fare retroingegneria sul software.,Capire il funzionamento tramite retroingegneria.,La retroingegneria è usata nello spionaggio industriale.,Bassa,Tecnico,Nessuno,No
,Ribaldo,ribàldo,"Birbante, furfante, mascalzone (termine antico).",Furfante; mascalzone; briccone; manigoldo,Galantuomo; onesto; santo,Di origine germanica.,Un allegro ribaldo.,Comportarsi da ribaldo.,Banda di ribaldi.,Bassa,Letterario / Scherzoso,Nessuno,No
,Ricettazione,ricettazióne,Reato di chi acquista o occulta beni di provenienza illecita.,Occultamento; acquisto illecito,Restituzione,"Derivato da ""ricettare"".",Accusa di ricettazione.,Arrestato per ricettazione di auto rubate.,La ricettazione alimenta i furti.,Media,Giuridico,Ricettazzione (una z),No
,Rimirare,rimiràre,Guardare con attenzione o ammirazione prolungata.,Guardare; contemplare; osservare; mirare,Ignorare; distogliere lo sguardo,"Derivato da ""mirare"".",Rimirare il panorama.,Si rimirava allo specchio.,Restò a rimirare le stelle.,Bassa,Letterario,Nessuno,No
,Rintuzzare,rintuzzàre,"Ribattere colpo su colpo, respingere (accuse); smussare.",Respingere; ribattere; controbattere; rintuzzare,Accettare; subire; incassare,"Derivato da ""tuzzo"" (urto).",Rintuzzare un attacco nemico.,Rintuzzare le critiche.,Rintuzzare l'orgoglio.,Bassa,Comune,Nessuno,No
,Ripudiare,ripudiàre,"Rifiutare legalmente o moralmente (moglie, fede, ideali).",Rifiutare; rinnegare; scacciare; divorziare,Accogliere; accettare; riconoscere; sposare,"Dal latino ""repudiare"".",Ripudiare la guerra.,Ha ripudiato le sue origini.,Ripudiare il coniuge.,Media,Comune,Nessuno,No
,Ripugnanza,ripugnànza,"Forte senso di schifo, avversione fisica o morale.",Schifo; orrore; nausea; avversione,Attrazione; piacere; gusto; simpatia,"Dal latino ""repugnantia"".",Provare ripugnanza per gli insetti.,Vincere la ripugnanza.,Destare ripugnanza.,Media,Comune,Nessuno,No
,Riserbo,risèrbo,"Discrezione, cautela nel parlare, chiusura.",Discrezione; cautela; prudenza; segretezza,Invadenza; indiscrezione; loquacità; sfacciataggine,"Derivato da ""riservare"".",Mantenere il massimo riserbo.,Sciogliere il riserbo.,Uomo di grande riserbo.,Media,Comune,Nessuno,No
,Ritorsivo,ritorsìvo,Compiuto per vendetta o rappresaglia; vendicativo.,Di vendetta; di rappresaglia; vendicativo,Di perdono; conciliante,"Derivato da ""ritorsione"".",Licenziamento ritorsivo (illegittimo).,Misura ritorsiva.,Atto ritorsivo.,Bassa,Giuridico / Sindacale,Nessuno,No
,Rizoma,rizòma,Fusto sotterraneo di alcune piante; (Filosofia) struttura a rete senza centro (Deleuze).,Radice; fusto sotterraneo; (filos) rete,Fittone; gerarchia; albero,"Dal greco ""rhizoma"" (radice).",Lo zenzero è un rizoma.,Pensiero a rizoma (non gerarchico).,Propagazione per rizomi.,Bassa,Botanica / Filosofia,Nessuno,No
,Rogito,rògito,Atto pubblico redatto da un notaio (specie compravendita immobiliare).,Atto notarile; contratto; scrittura,-,"Dal latino ""rogitus"".",Firmare il rogito.,Spese notarili per il rogito.,Fissare la data del rogito.,Media,Giuridico / Immobiliare,Nessuno,No
,Ruffiano,ruffiàno,Chi favorisce amori altrui per lucro (mezzano); adulatore servile.,Mezzano; prosseneta; leccapiedi; adulatore,Onesto; sincero; schietto,Etimologia incerta.,Fare il ruffiano col capo per avere un aumento.,Un vecchio ruffiano.,Sguardo ruffiano.,Media,Comune / Spregiativo,Rufiano (una f),No
,Rumoreggiare,rumoreggiàre,Fare rumore continuo e sordo; mormorare (di folla scontenta).,Mormorare; brontolare; protestare; strepitare,Tacere; acclamare,"Derivato da ""rumore"".",Il tuono rumoreggiava in lontananza.,La folla iniziò a rumoreggiare.,Il mare rumoreggia.,Bassa,Letterario,Nessuno,No
,Runa,rùna,Carattere dell'antico alfabeto germanico; segno misterioso.,Carattere germanico; segno magico; mistero,-,"Dal norreno ""run"".",Leggere le rune.,Iscrizione runica.,Magia delle rune.,Bassa,Storico / Esoterico,Nessuno,No
,Rutilante,rutilànte,"Rosso splendente, fiammeggiante; sfolgorante di luci o colori.",Splendente; fiammeggiante; sfolgorante; rosso,Spento; opaco; smorto; scuro,"Dal latino ""rutilans"".",Una chioma rutilante.,Prosa rutilante di aggettivi.,Luci rutilanti del luna park.,Bassa,Letterario,Nessuno,No
,Sacripante,sacripànte,"Uomo grande e grosso, smargiasso; esclamazione di stizza.",Energumeno; smargiasso; gigante; omone,Scricciolo; nano; persona mite,Dal personaggio dell'Orlando Innamorato/Furioso.,È un vero sacripante!,"Sacripante, che botta!",Vecchio sacripante.,Molto bassa,Letterario / Colloquiale,Nessuno,No
,Sagittabondo,sagittabóndo,Che scocca sguardi (d'amore o acuti); che saetta con gli occhi.,Che saetta sguardi; lanciatore di occhiate,-,"Dal latino ""sagitta"" (freccia).",Occhi sagittabondi (Dante).,Sguardo sagittabondo.,,Molto bassa,Letterario / Arcaico,Nessuno,No
,Salamelecco,salamelècco,"Inchino esagerato, cerimonia affettata (dall'arabo ""Salam alaykum"").",Cerimonia; smanceria; inchino; riverenza,Sgarbo; rudezza; schiettezza,"Dall'arabo ""La pace sia con te"".",Perdersi in salamelecchi.,Accolto con mille salamelecchi.,Non fare tanti salamelecchi.,Bassa,Comune,Salameleco (una c),No
,Salamistro,salamìstro,"Chi presume di sapere tutto, saccente, pedante.",Saccente; pedante; saputello; presuntuoso,Ignorante; modesto; umile,"Alterazione di ""salmista"" (lettore di salmi).",Fare il salamistro.,Non sopporto i salamistri che correggono tutti.,Un tono da salamistro.,Molto bassa,Toscano / Letterario,Nessuno,No
,Sardonico,sardònico,"Beffardo, sarcastico, amaro (detto di riso).",Beffardo; sarcastico; amaro; cinico,Bonario; dolce; affettuoso; benevolo,"Dal greco ""sardonios"" (della Sardegna, erba amara).",Un riso sardonico gli increspò le labbra.,Sorriso sardonico.,Espressione sardonica.,Bassa,Letterario,Nessuno,No
,Saturnismo,saturnìsmo,Intossicazione cronica da piombo.,Avvelenamento da piombo,-,"Da ""Saturno"" (nome alchemico del piombo).",Il saturnismo colpiva i pittori (biacca).,Sintomi del saturnismo.,Malattia professionale (saturnismo).,Bassa,Medico,Nessuno,No
,Sbertucciare,sbertucciàre,"Sgualcire, maltrattare (un oggetto); prendere in giro, ridicolizzare pesantemente.",Sgualcire; rovinare; ridicolizzare; canzonare,Stirare; curare; lodare; rispettare,"Derivato da ""bertuccia"" (scimmia).",Ha sbertucciato il cappello nuovo.,Venire sbertucciato dalla critica.,Sbertucciare un avversario.,Bassa,Colloquiale,Nessuno,No
,Scatologico,scatològico,"Che riguarda gli escrementi; volgare, osceno.",Osceno; volgare; coprolalico; fecale,Pulito; elevato; puro; casto,"Dal greco ""skor/skatos"" (escremento).",Umorismo scatologico.,Fase scatologica (freudiana).,Linguaggio scatologico.,Bassa,Colto / Psicologia,Nessuno,No
,Scellerato,scelleràto,"Malvagio, empio, capace di crimini orrendi.",Malvagio; empio; criminale; iniquo,Santo; buono; giusto; pio,"Dal latino ""sceleratus"".",Un piano scellerato.,Mente scellerata.,Compiere azioni scellerate.,Media,Letterario,Scelerato (una l),No
,Schermire,schermìre,"Proteggere, riparare da un colpo o da un pericolo.",Proteggere; difendere; riparare; parare,Esporre; colpire; lasciare indifeso,"Derivato dal germanico ""skirmjan"".",Schermire il corpo.,Vetro che scherma i raggi UV.,Schermire gli occhi dalla luce.,Bassa,Comune,Nessuno,No
,Schermirsi,schermìrsi,"Difendersi, ripararsi; sottrarsi a qualcosa.",Difendersi; ripararsi; sottrarsi; schivare,Esporsi; offrirsi; farsi avanti,"Riflessivo di ""schermire"".",Schermirsi da un'accusa.,Schermirsi con le braccia.,Si schermì dicendo che non era vero.,Bassa,Comune,Nessuno,No
,Schernire,schernìre,"Deridere, prendere in giro con disprezzo.",Deridere; beffeggiare; dileggiare; irridere,Elogiare; rispettare; ammirare; onorare,"Derivato dal germanico ""skernjan"".",Schernire i vinti.,Fu schernito dai compagni.,Schernire la religione.,Media,Comune,Nessuno,No
,Schernirsi,schernìrsi,Rifiutare lodi o complimenti per modestia o umiltà (spesso affettata).,Rifiutare (lodi); sminuirsi; schermirsi,Vantarsi; accettare; compiacersi,"Riflessivo di ""schernire"" (nel senso di sminuirsi).",Si schernì dicendo che era merito di tutti.,Schernirsi davanti agli applausi.,Continuava a schernirsi.,Bassa,Letterario,"Confusione con ""Schermirsi""",No
,Scheumorfismo,scheumorfìsmo,Design digitale che imita oggetti reali (es. l'icona del cestino o il blocco note).,Imitazione realistica (design); realismo,Astrazione; flat design,"Dal greco ""skeuos"" (contenitore) e ""morphe"" (forma).",Apple ha abbandonato lo scheumorfismo per il flat design.,Elementi di scheumorfismo nell'interfaccia.,Lo scheumorfismo aiuta l'utente inesperto.,Molto bassa,Informatica / Design,Nessuno,No
,Schivo,schìvo,"Che evita la compagnia, riservato, timido; che rifugge.",Riservato; ritroso; timido; solitario,Socievole; sfacciato; mondano; espansivo,"Derivato dal germanico ""skiuh"".",Carattere schivo e solitario.,Essere schivo di lodi.,Stare schivo dai pericoli.,Media,Comune,Nessuno,No
,Sciamannato,sciamannàto,"Disordinato nel vestire, sciatto, trasandato.",Trasandato; sciatto; disordinato; scomposto,Curato; ordinato; elegante; azzimato,"Derivato da ""sciamanna"" (veste semplice).",Arrivò tutto sciamannato.,Aspetto sciamannato.,Ragazzo sciamannato.,Bassa,Comune,Nessuno,No
,Sciamare,sciamàre,Uscire e diffondersi in massa (detto di folla o insetti).,Uscire in massa; spargersi; diffondersi,Radunarsi; rientrare; concentrarsi,"Derivato da ""sciame"".",Gli studenti sciamarono fuori da scuola.,Le api sciamano in primavera.,La folla sciamava per le vie.,Bassa,Comune,Nessuno,No
,Sciorinare,sciorinàre,Stendere i panni all'aria; figurato: esporre con ostentazione o lungaggine.,Stendere (panni); esporre; elencare; ostentare,Nascondere; tacere; ritirare; celare,"Forse da ""ex-aurinare"" (mettere all'aria).",Sciorinare la propria cultura.,Ha sciorinato un elenco di scuse.,Sciorinare i panni al sole.,Media,Comune,Nessuno,No
,Scotomizzare,scotomizzàre,(Psicologia) Escludere inconsciamente qualcosa dalla coscienza; ignorare un problema.,Rimuovere; ignorare; cancellare (dalla mente),Prendere coscienza; affrontare; focalizzare,"Derivato da ""scotoma"" (macchia cieca).",Scotomizzare la realtà sgradevole.,Tende a scotomizzare i propri errori.,Meccanismo di difesa: scotomizzare.,Bassa,Psicologia,Stocomizzare (refuso nell'input),No
,Screanzato,screanzàto,"Maleducato, privo di creanza, villano.",Maleducato; villano; insolente; incivile,Educato; gentile; cortese; garbato,"Derivato da ""creanza"".",Quel bambino è uno screanzato.,Risposta screanzata.,Modi screanzati.,Media,Comune,Nessuno,No
,Scugnizzo,scugnìzzo,"Ragazzo di strada napoletano, vivace e astuto.",Ragazzo di strada; monello; guappetto,-,"Dialetto napoletano (da scugnare, scheggiare).",Gli scugnizzi giocavano a palla.,L'arte di arrangiarsi dello scugnizzo.,Sorriso da scugnizzo.,Media,Regionale / Comune,Nessuno,No
,Sdrucciolare,sdrucciolàre,Scivolare (su superficie liscia o figurato).,Scivolare; slittare; cadere; (fig) errare,Tenersi; aggrapparsi; stare saldo,Etimologia incerta.,Sdrucciolare sul pavimento bagnato.,L'accento sdrucciola sulla terzultima sillaba.,Sdrucciolare nel vizio.,Bassa,Comune,Sdruciolare (una c),No
,Sdrucito,sdrucìto,"Scucito, strappato, logoro (di abiti).",Strappato; rotto; logoro; scucito,Nuovo; intatto; rammendato; integro,"Participio passato di ""sdrucire"".",Pantaloni sdruciti.,Divano sdrucito.,Giacca vecchia e sdrucita.,Bassa,Comune,Sduscito (errato),No
,Segregazione,segregazióne,"Isolamento, separazione forzata (specie razziale).",Isolamento; separazione; emarginazione; apartheid,Integrazione; unione; mescolanza; inclusione,"Dal latino ""segregare"" (separare dal gregge).",Segregazione razziale.,Vivere in segregazione.,Segregazione cellulare.,Media,Sociologia,Nessuno,No
,Sentina,sentìna,Fondo della nave dove si raccoglie l'acqua sporca; figurato: luogo di vizi e corruzione.,Fondo; cloaca; (fig) ricettacolo di vizi,Vetta; culmine; cima,"Dal latino ""sentina"".",Svuotare la sentina.,Quella città è la sentina di ogni vizio.,Sentina infernale.,Bassa,Nautica / Letterario,Nessuno,No
,Seracco,seràcco,"Blocco di ghiaccio in un ghiacciaio, separato da crepacci.",Blocco di ghiaccio (glaciale),-,"Dal francese ""sérac"".",Il crollo di un seracco è pericoloso.,Arrampicarsi tra i seracchi.,Ghiacciaio pieno di seracchi.,Molto bassa,Alpinismo,Nessuno,No
,Serendipità,serendipità,Lo scoprire qualcosa di prezioso e imprevisto mentre si cercava altro.,Scoperta casuale; fortuna; caso fortunato,Ricerca mirata; sfortuna; calcolo,"Dall'inglese ""serendipity"" (fiaba di Serendip).",La scoperta della penicillina fu un caso di serendipità.,Trovare l'amore per serendipità.,Grazie alla serendipità.,Media,Colto / Comune,Serendipity (uso inglese frequente),No
,Sesquipedale,sesquipedàle,"Smisurato, enorme (spesso di errore); ""di un piede e mezzo"".",Enorme; smisurato; madornale; gigantesco,Minimo; trascurabile; piccolo; lieve,"Dal latino ""sesquipedalis"".",Un errore sesquipedale.,Una sciocchezza sesquipedale.,Parole sesquipedali (lunghe e pompose).,Bassa,Colto / Ironico,Nessuno,No
,Sghembo,sghèmbo,"Storto, obliquo, non dritto.",Storto; obliquo; traverso; sbilenco,Dritto; retto; perpendicolare; allineato,Etimologia incerta.,Camminare di sghembo.,Un cappello messo di sghembo.,Taglio sghembo.,Bassa,Comune,Sgembo (errato),No
,Sibarita,sibarìta,"Chi ama il lusso, le comodità e i piaceri raffinati.",Gaudente; epicureo; viveur; lussurioso,Asceta; stoico; frugale; moderato,Dagli abitanti di Sibari (città antica nota per il lusso).,Vivere da sibarita.,Abitudini da sibarita.,Un palazzo degno di un sibarita.,Bassa,Colto,Nessuno,No
,Sibilla,sibìlla,Profetessa dell'antichità; donna che fa previsioni oscure o enigmatiche.,Profetessa; indovina; (fig) persona enigmatica,-,"Dal greco ""Sibylla"".",Responso da sibilla.,Parlare come una sibilla (in modo oscuro).,La Sibilla Cumana.,Bassa,Mitologia / Comune,Sibila (verbo sibilare),No
,Sic,sìc,Così (latino); usato tra parentesi per indicare che un errore nel testo citato è originale.,Così; testuale; letterale,-,"Latino ""sic"" (così).",Ha scritto 'cuore' con la q (sic).,Era scritto proprio sic.,Sic et simpliciter (così e semplicemente).,Bassa,Editoria / Accademico,Nessuno,No
,Significazione,significazióne,Il significato; l'atto di significare o notificare.,Significato; senso; notificazione,-,"Dal latino ""significatio"".",La significazione allegorica.,Significazione giuridica (notifica).,Processi di significazione.,Molto bassa,Linguistica / Giuridico,Nessuno,No
,Silfide,sìlfide,"Spirito femminile dell'aria; figurato: donna snella, leggera e graziosa.",Spirito dell'aria; (fig) donna snella,(Fig) Balena; donnone,"Dal latino moderno ""sylphides"".",Magra come una silfide.,Danzava come una silfide.,Figura di silfide.,Bassa,Letterario,Nessuno,No
,Sinallagmatico,sinallagmàtico,(Diritto) Di contratto a prestazioni corrispettive (obblighi per entrambe le parti).,Corrispettivo; bilaterale; reciproco,Unilaterale; gratuito,"Dal greco ""synallagma"" (scambio).",Contratto sinallagmatico (es. compravendita).,Nesso sinallagmatico.,Rapporto sinallagmatico.,Molto bassa,Giuridico,Nessuno,No
